State,Pollution
Alabama,8.6
Alaska,5.3
Arizona,6
Arkansas,8.3
California,12.6
Colorado,5.7
Connecticut,7.8
Delaware,7.3
District of Columbia,7.8
Florida,7.9
Georgia,8.8
Hawaii,3.7
Idaho,7.2
Illinois,8.7
Indiana,8.6
Iowa,7.4
Kansas,7.3
Kentucky,8
Louisiana,8.3
Maine,5.3
Maryland,6.3
Massachusetts,6.8
Michigan,6.7
Minnesota,6
Mississippi,8.7
Missouri,7.5
Montana,5.6
Nebraska,6
Nevada,8.2
New Hampshire,5.5
New Jersey,8.1
New Mexico,5.4
New York,6.9
North Carolina,6.7
North Dakota,5.5
Ohio,7.9
Oklahoma,8.9
Oregon,12.1
Pennsylvania,7.8
Rhode Island,6
South Carolina,7.8
South Dakota,5.4
Tennessee,7
Texas,8.1
Utah,5.9
Vermont,5.8
Virginia,6.7
Washington,10.3
West Virginia,6.7
Wisconsin,7.7
Wyoming,4.8