State,Number of Wildfires,Acres Burned
California,"7,364","332,722"
Texas,"7,102","210,264"
North Carolina,"5,214","73,953"
Florida,"2,730","99,642"
Georgia,"2,386","10,330"
Mississippi,"2,383","52,508"
Oregon,"1,979","202,035"
Pennsylvania,"1,910","9,628"
Alabama,"1,856","18,335"
Arizona,"1,837","188,483"
Washington,"1,707","151,316"
Montana,"1,662","123,133"
Oklahoma,"1,580","162,489"
Louisiana,"1,467","22,103"
New Jersey,"1,194","18,033"
West Virginia,"1,124","45,679"
Wisconsin,"1,086","4,883"
Massachusetts,"1,079","1,468"
New Mexico,"1,019","212,378"
Idaho,892,"87,801"
Ohio,883,"2,469"
Colorado,861,"41,917"
Minnesota,836,"9,416"
Utah,782,"18,109"
Tennessee,772,"15,394"
Nebraska,569,"180,733"
Connecticut,499,297
Maine,493,325
North Dakota,471,"4,183"
Michigan,466,"4,287"
Nevada,375,"1,300"
Alaska,346,"314,276"
Wyoming,249,"7,934"
Hawaii,214,"12,059"
Maryland,196,"4,486"
South Dakota,177,945
New York,150,"1,383"
Arkansas,147,"5,659"
Missouri,127,"9,499"
Rhode Island,78,582
Vermont,67,62
New Hampshire,52,58
Kansas,49,"17,963"
Indiana,47,521
Virginia,43,"12,085"
Illinois,22,111
South Carolina,22,591
Kentucky,9,70
Iowa,6,6
Delaware,1,0
District of Columbia,0,0